Country,Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Argentina,70514,94792,-26,1537,863,1198,-28,19,45881008
Bolivia,3537,6862,-48,296,47,111,-58,4,11936049
Brazil,576463,741844,-22,2681,5051,5814,-13,23,215056109
Chile,194646,234595,-17,10040,874,732,19,45,19387329
Colombia,17132,29098,-41,331,602,1043,-42,12,51778918
Ecuador,8999,21531,-58,498,69,119,-42,4,18085567
French Guiana,198,290,-32,636,4,3,33,13,311460
Guyana,253,482,-48,319,10,20,-50,13,792824
Paraguay,5772,12195,-53,793,155,309,-50,21,7277276
Peru,21416,55235,-61,635,1109,1178,-6,33,33730556
Suriname,436,758,-42,732,6,11,-45,10,595317
Uruguay,25974,39610,-34,7435,96,121,-21,27,3493624
Venezuela,3762,5834,-36,133,29,64,-55,1,28302786
